ID_name,block,color,condition,correct_keyboard_response,number,practice,response_keyboard_response,response_time_keyboard_response,subject_nr
chiesa07,0,red,dot,1,8,yes,rshift,1147,0
chiesa07,0,blue,dot,1,1,yes,lshift,670,0
chiesa07,0,blue,dot,1,3,yes,lshift,412,0
chiesa07,0,red,dot,1,1,yes,rshift,434,0
chiesa07,0,red,dot,1,4,yes,rshift,575,0
chiesa07,0,red,dot,1,9,yes,rshift,442,0
chiesa07,0,red,dot,1,6,yes,rshift,375,0
chiesa07,0,blue,dot,1,8,yes,lshift,446,0
chiesa07,0,blue,dot,1,9,yes,lshift,397,0
chiesa07,0,blue,dot,1,2,yes,lshift,374,0
chiesa07,0,blue,dot,1,4,yes,lshift,359,0
chiesa07,0,blue,dot,1,7,yes,lshift,341,0
chiesa07,0,red,dot,1,2,yes,rshift,7048,0
chiesa07,0,red,dot,1,7,yes,rshift,442,0
chiesa07,0,red,dot,1,3,yes,rshift,349,0
chiesa07,0,blue,dot,1,6,yes,lshift,404,0
chiesa07,1,red,dot,1,9,no,rshift,573,0
chiesa07,1,red,dot,1,2,no,rshift,338,0
chiesa07,1,red,dot,1,1,no,rshift,308,0
chiesa07,1,red,dot,1,3,no,rshift,312,0
chiesa07,1,blue,dot,1,9,no,lshift,3302,0
chiesa07,1,red,dot,1,6,no,rshift,378,0
chiesa07,1,blue,dot,1,6,no,lshift,378,0
chiesa07,1,blue,dot,1,7,no,lshift,306,0
chiesa07,1,red,dot,1,2,no,rshift,329,0
chiesa07,1,red,dot,1,6,no,rshift,307,0
chiesa07,1,red,dot,1,6,no,rshift,341,0
chiesa07,1,blue,dot,1,6,no,lshift,325,0
chiesa07,1,red,dot,1,6,no,rshift,399,0
chiesa07,1,red,dot,1,3,no,rshift,831,0
chiesa07,1,blue,dot,1,7,no,lshift,333,0
chiesa07,1,blue,dot,1,7,no,lshift,402,0
chiesa07,1,red,dot,1,2,no,rshift,407,0
chiesa07,1,red,dot,1,8,no,rshift,413,0
chiesa07,1,blue,dot,1,6,no,lshift,336,0
chiesa07,1,blue,dot,1,9,no,lshift,343,0
chiesa07,1,blue,dot,1,2,no,lshift,436,0
chiesa07,1,blue,dot,1,4,no,lshift,349,0
chiesa07,1,red,dot,1,9,no,rshift,426,0
chiesa07,1,red,dot,1,6,no,rshift,374,0
chiesa07,1,red,dot,1,9,no,rshift,461,0
chiesa07,1,red,dot,1,4,no,rshift,386,0
chiesa07,1,blue,dot,1,1,no,lshift,570,0
chiesa07,1,red,dot,1,1,no,rshift,533,0
chiesa07,1,red,dot,1,8,no,rshift,343,0
chiesa07,1,blue,dot,1,3,no,lshift,356,0
chiesa07,1,blue,dot,1,9,no,lshift,314,0
chiesa07,1,blue,dot,1,4,no,lshift,285,0
chiesa07,1,red,dot,1,7,no,rshift,323,0
chiesa07,1,red,dot,1,7,no,rshift,547,0
chiesa07,1,red,dot,1,1,no,rshift,339,0
chiesa07,1,blue,dot,1,8,no,lshift,351,0
chiesa07,1,blue,dot,1,7,no,lshift,343,0
chiesa07,1,blue,dot,1,3,no,lshift,433,0
chiesa07,1,blue,dot,1,2,no,lshift,320,0
chiesa07,1,red,dot,1,1,no,rshift,343,0
chiesa07,1,red,dot,1,2,no,rshift,425,0
chiesa07,1,blue,dot,1,4,no,lshift,408,0
chiesa07,1,red,dot,1,8,no,rshift,343,0
chiesa07,1,blue,dot,1,4,no,lshift,308,0
chiesa07,1,red,dot,1,2,no,rshift,326,0
chiesa07,1,red,dot,1,7,no,rshift,351,0
chiesa07,1,blue,dot,1,3,no,lshift,353,0
chiesa07,1,blue,dot,0,7,no,rshift,363,0
chiesa07,1,red,dot,1,4,no,rshift,450,0
chiesa07,1,blue,dot,1,4,no,lshift,407,0
chiesa07,1,blue,dot,1,2,no,lshift,292,0
chiesa07,1,red,dot,1,2,no,rshift,388,0
chiesa07,1,red,dot,1,7,no,rshift,390,0
chiesa07,1,red,dot,1,2,no,rshift,451,0
chiesa07,1,blue,dot,1,4,no,lshift,421,0
chiesa07,1,blue,dot,1,2,no,lshift,413,0
chiesa07,1,blue,dot,1,9,no,lshift,414,0
chiesa07,1,blue,dot,1,3,no,lshift,405,0
chiesa07,1,blue,dot,1,6,no,lshift,356,0
chiesa07,1,red,dot,1,8,no,rshift,11192,0
chiesa07,1,blue,dot,1,2,no,lshift,385,0
chiesa07,1,blue,dot,1,8,no,lshift,328,0
chiesa07,1,blue,dot,1,6,no,lshift,540,0
chiesa07,1,blue,dot,1,4,no,lshift,351,0
chiesa07,1,blue,dot,1,3,no,lshift,434,0
chiesa07,1,red,dot,1,4,no,rshift,10728,0
chiesa07,1,red,dot,1,9,no,rshift,3781,0
chiesa07,1,red,dot,1,3,no,rshift,67349,0
chiesa07,1,red,dot,1,4,no,rshift,569,0
chiesa07,1,red,dot,1,3,no,rshift,554,0
chiesa07,1,red,dot,1,8,no,rshift,484,0
chiesa07,1,red,dot,1,7,no,rshift,549,0
chiesa07,1,red,dot,1,8,no,rshift,3921,0
chiesa07,1,red,dot,1,3,no,rshift,864,0
chiesa07,1,red,dot,1,4,no,rshift,551,0
chiesa07,1,blue,dot,1,7,no,lshift,459,0
chiesa07,1,red,dot,1,6,no,rshift,505,0
chiesa07,1,red,dot,1,1,no,rshift,705,0
chiesa07,1,red,dot,1,9,no,rshift,548,0
