ID_name,block,color,condition,correct_keyboard_response,number,practice,response_keyboard_response,response_time_keyboard_response,subject_nr
Senga,0,red,arab,1,7,yes,lshift,1683,0
Senga,0,blue,arab,1,6,yes,rshift,547,0
Senga,0,blue,arab,1,8,yes,rshift,494,0
Senga,0,blue,arab,1,9,yes,rshift,435,0
Senga,0,red,arab,1,9,yes,lshift,461,0
Senga,0,red,arab,1,1,yes,lshift,437,0
Senga,0,blue,arab,1,3,yes,rshift,524,0
Senga,0,red,arab,0,6,yes,rshift,2203,0
Senga,0,blue,arab,0,4,yes,lshift,888,0
Senga,0,red,arab,0,2,yes,rshift,948,0
Senga,0,blue,arab,1,1,yes,rshift,663,0
Senga,0,blue,arab,1,2,yes,rshift,1064,0
Senga,0,red,arab,1,4,yes,lshift,575,0
Senga,0,red,arab,1,3,yes,lshift,496,0
Senga,0,blue,arab,1,7,yes,rshift,930,0
Senga,0,red,arab,1,8,yes,lshift,804,0
Senga,1,blue,arab,1,9,no,rshift,616,0
Senga,1,blue,arab,1,6,no,rshift,495,0
Senga,1,red,arab,1,1,no,lshift,463,0
Senga,1,red,arab,1,3,no,lshift,406,0
Senga,1,blue,arab,1,4,no,rshift,483,0
Senga,1,blue,arab,1,1,no,rshift,536,0
Senga,1,red,arab,1,4,no,lshift,599,0
Senga,1,blue,arab,1,4,no,rshift,519,0
Senga,1,red,arab,1,9,no,lshift,531,0
Senga,1,blue,arab,1,8,no,rshift,464,0
Senga,1,red,arab,1,9,no,lshift,406,0
Senga,1,red,arab,1,9,no,lshift,438,0
Senga,1,red,arab,1,7,no,lshift,710,0
Senga,1,blue,arab,1,7,no,rshift,429,0
Senga,1,red,arab,1,7,no,lshift,630,0
Senga,1,blue,arab,1,3,no,rshift,735,0
Senga,1,blue,arab,1,8,no,rshift,721,0
Senga,1,blue,arab,1,6,no,rshift,450,0
Senga,1,blue,arab,1,4,no,rshift,436,0
Senga,1,blue,arab,1,7,no,rshift,628,0
Senga,1,blue,arab,1,8,no,rshift,9620,0
Senga,1,red,arab,1,1,no,lshift,780,0
Senga,1,blue,arab,1,1,no,rshift,594,0
Senga,1,red,arab,1,1,no,lshift,548,0
Senga,1,blue,arab,1,7,no,rshift,471,0
Senga,1,red,arab,1,6,no,lshift,761,0
Senga,1,red,arab,1,7,no,lshift,659,0
Senga,1,blue,arab,1,2,no,rshift,629,0
Senga,1,red,arab,1,1,no,lshift,645,0
Senga,1,red,arab,1,3,no,lshift,409,0
Senga,1,red,arab,1,3,no,lshift,481,0
Senga,1,blue,arab,1,8,no,rshift,644,0
Senga,1,red,arab,1,9,no,lshift,485,0
Senga,1,red,arab,0,6,no,rshift,436,0
Senga,1,red,arab,1,8,no,lshift,707,0
Senga,1,blue,arab,1,6,no,rshift,413,0
Senga,1,red,arab,1,4,no,lshift,550,0
Senga,1,red,arab,1,4,no,lshift,411,0
Senga,1,red,arab,1,3,no,lshift,430,0
Senga,1,red,arab,1,3,no,lshift,435,0
Senga,1,blue,arab,1,1,no,rshift,516,0
Senga,1,red,arab,1,1,no,lshift,452,0
Senga,1,red,arab,1,2,no,lshift,446,0
Senga,1,blue,arab,1,3,no,rshift,512,0
Senga,1,red,arab,1,8,no,lshift,601,0
Senga,1,blue,arab,1,4,no,rshift,551,0
Senga,1,blue,arab,1,7,no,rshift,513,0
Senga,1,blue,arab,1,3,no,rshift,395,0
Senga,1,blue,arab,1,2,no,rshift,353,0
Senga,1,blue,arab,1,4,no,rshift,342,0
Senga,1,red,arab,1,7,no,lshift,3502,0
Senga,1,blue,arab,1,8,no,rshift,16075,0
Senga,1,blue,arab,1,2,no,rshift,614,0
Senga,1,red,arab,1,8,no,lshift,1065,0
Senga,1,blue,arab,1,3,no,rshift,1442,0
Senga,1,blue,arab,1,6,no,rshift,644,0
Senga,1,blue,arab,1,8,no,rshift,438,0
Senga,1,blue,arab,1,1,no,rshift,377,0
Senga,1,red,arab,1,8,no,lshift,575,0
Senga,1,blue,arab,1,2,no,rshift,525,0
Senga,1,red,arab,1,9,no,lshift,544,0
Senga,1,red,arab,1,7,no,lshift,553,0
Senga,1,blue,arab,1,4,no,rshift,658,0
Senga,1,blue,arab,1,1,no,rshift,518,0
Senga,1,red,arab,1,9,no,lshift,455,0
Senga,1,red,arab,1,6,no,lshift,667,0
Senga,1,red,arab,1,2,no,lshift,486,0
Senga,1,red,arab,1,8,no,lshift,393,0
Senga,1,red,arab,1,3,no,lshift,497,0
Senga,1,blue,arab,1,9,no,rshift,2785,0
Senga,1,red,arab,1,4,no,lshift,650,0
Senga,1,red,arab,1,6,no,lshift,413,0
Senga,1,blue,arab,1,8,no,rshift,537,0
Senga,1,blue,arab,1,1,no,rshift,533,0
Senga,1,blue,arab,1,1,no,rshift,505,0
Senga,1,blue,arab,1,6,no,rshift,435,0
Senga,1,red,arab,1,1,no,lshift,572,0
Senga,1,blue,arab,1,4,no,rshift,594,0
Senga,1,blue,arab,1,6,no,rshift,417,0
Senga,1,red,arab,1,6,no,lshift,483,0
Senga,1,red,arab,1,2,no,lshift,404,0
Senga,1,blue,arab,1,8,no,rshift,473,0
Senga,1,blue,arab,1,7,no,rshift,406,0
Senga,1,blue,arab,1,9,no,rshift,610,0
Senga,1,blue,arab,1,6,no,rshift,535,0
Senga,1,blue,arab,1,3,no,rshift,392,0
Senga,1,blue,arab,1,2,no,rshift,759,0
Senga,1,red,arab,1,1,no,lshift,497,0
Senga,1,blue,arab,1,7,no,rshift,505,0
Senga,1,blue,arab,1,1,no,rshift,616,0
Senga,1,red,arab,1,9,no,lshift,484,0
Senga,1,red,arab,1,4,no,lshift,603,0
Senga,1,red,arab,1,6,no,lshift,493,0
Senga,1,blue,arab,1,9,no,rshift,515,0
Senga,1,red,arab,1,9,no,lshift,459,0
Senga,1,red,arab,1,7,no,lshift,545,0
Senga,1,red,arab,1,9,no,lshift,554,0
Senga,1,red,arab,1,8,no,lshift,632,0
Senga,1,blue,arab,1,4,no,rshift,474,0
Senga,1,blue,arab,1,2,no,rshift,1607,0
Senga,1,blue,arab,1,9,no,rshift,472,0
Senga,1,red,arab,1,1,no,lshift,463,0
Senga,1,red,arab,1,8,no,lshift,379,0
Senga,1,blue,arab,1,1,no,rshift,545,0
Senga,1,red,arab,1,7,no,lshift,475,0
Senga,1,red,arab,1,4,no,lshift,786,0
Senga,1,blue,arab,1,9,no,rshift,564,0
Senga,1,red,arab,1,1,no,lshift,554,0
Senga,1,blue,arab,1,1,no,rshift,479,0
Senga,1,red,arab,1,8,no,lshift,446,0
Senga,1,red,arab,1,4,no,lshift,440,0
Senga,1,red,arab,1,4,no,lshift,431,0
Senga,1,blue,arab,1,4,no,rshift,470,0
Senga,1,red,arab,1,3,no,lshift,658,0
Senga,1,blue,arab,1,3,no,rshift,610,0
Senga,1,red,arab,1,6,no,lshift,448,0
Senga,1,blue,arab,1,8,no,rshift,494,0
Senga,1,blue,arab,1,6,no,rshift,495,0
Senga,1,blue,arab,1,6,no,rshift,401,0
Senga,1,red,arab,1,3,no,lshift,426,0
Senga,1,red,arab,1,2,no,lshift,436,0
Senga,1,red,arab,1,3,no,lshift,371,0
Senga,1,blue,arab,1,9,no,rshift,487,0
Senga,1,blue,arab,1,7,no,rshift,432,0
Senga,1,red,arab,1,2,no,lshift,448,0
Senga,1,blue,arab,1,9,no,rshift,572,0
Senga,1,red,arab,1,1,no,lshift,397,0
Senga,1,red,arab,1,4,no,lshift,412,0
Senga,1,blue,arab,1,3,no,rshift,656,0
Senga,1,red,arab,1,8,no,lshift,493,0
Senga,1,blue,arab,1,9,no,rshift,409,0
Senga,1,red,arab,1,2,no,lshift,484,0
