ID_name,block,color,condition,correct_keyboard_response,number,practice,response_keyboard_response,response_time_keyboard_response,subject_nr
vpn75,0,blue,dot,1,8,yes,lshift,1044,0
vpn75,0,blue,dot,1,1,yes,lshift,623,0
vpn75,0,red,dot,1,2,yes,rshift,477,0
vpn75,0,red,dot,1,7,yes,rshift,562,0
vpn75,0,red,dot,1,6,yes,rshift,412,0
vpn75,0,blue,dot,1,4,yes,lshift,386,0
vpn75,0,blue,dot,1,3,yes,lshift,595,0
vpn75,0,red,dot,1,1,yes,rshift,548,0
vpn75,0,red,dot,1,8,yes,rshift,476,0
vpn75,0,red,dot,1,3,yes,rshift,509,0
vpn75,0,red,dot,1,4,yes,rshift,515,0
vpn75,0,blue,dot,1,7,yes,lshift,806,0
vpn75,0,blue,dot,1,6,yes,lshift,790,0
vpn75,0,red,dot,1,9,yes,rshift,500,0
vpn75,0,blue,dot,1,9,yes,lshift,564,0
vpn75,0,blue,dot,1,2,yes,lshift,721,0
vpn75,1,red,dot,1,6,no,rshift,669,0
vpn75,1,blue,dot,1,8,no,lshift,421,0
vpn75,1,blue,dot,1,2,no,lshift,667,0
vpn75,1,blue,dot,1,2,no,lshift,505,0
vpn75,1,blue,dot,1,6,no,lshift,506,0
vpn75,1,blue,dot,1,4,no,lshift,481,0
vpn75,1,red,dot,1,1,no,rshift,422,0
vpn75,1,red,dot,1,1,no,rshift,516,0
vpn75,1,red,dot,1,7,no,rshift,681,0
vpn75,1,red,dot,1,6,no,rshift,477,0
vpn75,1,red,dot,1,1,no,rshift,472,0
vpn75,1,blue,dot,1,9,no,lshift,577,0
vpn75,1,red,dot,1,8,no,rshift,508,0
vpn75,1,blue,dot,1,4,no,lshift,661,0
vpn75,1,blue,dot,1,3,no,lshift,429,0
vpn75,1,red,dot,1,1,no,rshift,539,0
vpn75,1,red,dot,1,8,no,rshift,414,0
vpn75,1,blue,dot,1,2,no,lshift,506,0
vpn75,1,red,dot,1,4,no,rshift,496,0
vpn75,1,blue,dot,1,3,no,lshift,509,0
vpn75,1,red,dot,1,8,no,rshift,455,0
vpn75,1,red,dot,1,3,no,rshift,775,0
vpn75,1,blue,dot,1,4,no,lshift,467,0
vpn75,1,red,dot,1,2,no,rshift,648,0
vpn75,1,blue,dot,1,1,no,lshift,515,0
vpn75,1,blue,dot,1,6,no,lshift,756,0
vpn75,1,blue,dot,1,1,no,lshift,512,0
vpn75,1,blue,dot,1,6,no,lshift,456,0
vpn75,1,red,dot,1,4,no,rshift,403,0
vpn75,1,red,dot,1,8,no,rshift,555,0
vpn75,1,blue,dot,1,2,no,lshift,551,0
vpn75,1,blue,dot,1,3,no,lshift,590,0
vpn75,1,blue,dot,1,1,no,lshift,660,0
vpn75,1,blue,dot,1,7,no,lshift,854,0
vpn75,1,red,dot,1,9,no,rshift,559,0
vpn75,1,red,dot,1,1,no,rshift,688,0
vpn75,1,blue,dot,1,6,no,lshift,912,0
vpn75,1,red,dot,1,3,no,rshift,495,0
vpn75,1,blue,dot,1,6,no,lshift,946,0
vpn75,1,red,dot,1,8,no,rshift,469,0
vpn75,1,red,dot,1,2,no,rshift,666,0
vpn75,1,blue,dot,1,7,no,lshift,559,0
vpn75,1,blue,dot,1,9,no,lshift,812,0
vpn75,1,red,dot,1,6,no,rshift,586,0
vpn75,1,red,dot,1,6,no,rshift,460,0
vpn75,1,blue,dot,1,9,no,lshift,671,0
vpn75,1,red,dot,1,2,no,rshift,505,0
vpn75,1,blue,dot,1,7,no,lshift,754,0
vpn75,1,blue,dot,1,8,no,lshift,798,0
vpn75,1,blue,dot,1,6,no,lshift,1066,0
vpn75,1,red,dot,1,9,no,rshift,666,0
vpn75,1,red,dot,1,8,no,rshift,486,0
vpn75,1,red,dot,1,4,no,rshift,495,0
vpn75,1,blue,dot,1,1,no,lshift,447,0
vpn75,1,blue,dot,1,6,no,lshift,496,0
vpn75,1,red,dot,1,7,no,rshift,520,0
vpn75,1,blue,dot,1,9,no,lshift,647,0
vpn75,1,red,dot,1,2,no,rshift,402,0
vpn75,1,red,dot,1,4,no,rshift,664,0
vpn75,1,blue,dot,1,4,no,lshift,621,0
vpn75,1,blue,dot,1,3,no,lshift,1009,0
vpn75,1,blue,dot,1,9,no,lshift,475,0
vpn75,1,blue,dot,1,4,no,lshift,479,0
vpn75,1,blue,dot,1,1,no,lshift,459,0
vpn75,1,blue,dot,1,4,no,lshift,483,0
vpn75,1,blue,dot,1,1,no,lshift,540,0
vpn75,1,blue,dot,1,9,no,lshift,548,0
vpn75,1,blue,dot,1,4,no,lshift,533,0
vpn75,1,red,dot,1,9,no,rshift,443,0
vpn75,1,red,dot,1,6,no,rshift,489,0
vpn75,1,red,dot,1,4,no,rshift,432,0
vpn75,1,red,dot,1,7,no,rshift,413,0
vpn75,1,blue,dot,1,7,no,lshift,554,0
vpn75,1,red,dot,1,6,no,rshift,501,0
vpn75,1,blue,dot,1,6,no,lshift,706,0
vpn75,1,blue,dot,1,3,no,lshift,804,0
vpn75,1,red,dot,1,7,no,rshift,571,0
vpn75,1,red,dot,1,6,no,rshift,432,0
vpn75,1,blue,dot,1,6,no,lshift,554,0
vpn75,1,blue,dot,1,3,no,lshift,673,0
vpn75,1,blue,dot,1,2,no,lshift,496,0
vpn75,1,blue,dot,1,9,no,lshift,542,0
vpn75,1,blue,dot,1,8,no,lshift,489,0
vpn75,1,red,dot,1,3,no,rshift,486,0
vpn75,1,red,dot,1,7,no,rshift,417,0
vpn75,1,blue,dot,1,7,no,lshift,470,0
vpn75,1,red,dot,1,4,no,rshift,442,0
vpn75,1,red,dot,1,3,no,rshift,622,0
vpn75,1,red,dot,1,9,no,rshift,467,0
vpn75,1,red,dot,1,4,no,rshift,529,0
vpn75,1,red,dot,1,4,no,rshift,420,0
vpn75,1,red,dot,1,9,no,rshift,366,0
vpn75,1,blue,dot,1,7,no,lshift,542,0
vpn75,1,red,dot,1,3,no,rshift,477,0
vpn75,1,red,dot,1,2,no,rshift,967,0
vpn75,1,blue,dot,1,7,no,lshift,582,0
vpn75,1,red,dot,1,2,no,rshift,1263,0
vpn75,1,red,dot,1,1,no,rshift,757,0
vpn75,1,blue,dot,1,8,no,lshift,504,0
vpn75,1,red,dot,1,9,no,rshift,507,0
vpn75,1,red,dot,1,6,no,rshift,502,0
vpn75,1,red,dot,1,1,no,rshift,513,0
vpn75,1,blue,dot,1,4,no,lshift,963,0
vpn75,1,red,dot,1,3,no,rshift,443,0
vpn75,1,red,dot,1,1,no,rshift,389,0
vpn75,1,red,dot,1,2,no,rshift,403,0
vpn75,1,blue,dot,1,2,no,lshift,610,0
vpn75,1,blue,dot,1,2,no,lshift,531,0
vpn75,1,red,dot,1,2,no,rshift,530,0
vpn75,1,red,dot,1,8,no,rshift,514,0
vpn75,1,blue,dot,1,2,no,lshift,543,0
vpn75,1,blue,dot,1,2,no,lshift,862,0
vpn75,1,red,dot,1,7,no,rshift,504,0
vpn75,1,red,dot,1,8,no,rshift,403,0
vpn75,1,red,dot,1,3,no,rshift,541,0
vpn75,1,blue,dot,1,9,no,lshift,508,0
vpn75,1,blue,dot,1,1,no,lshift,748,0
vpn75,1,red,dot,1,2,no,rshift,656,0
vpn75,1,red,dot,1,3,no,rshift,524,0
vpn75,1,red,dot,1,4,no,rshift,536,0
vpn75,1,blue,dot,1,8,no,lshift,660,0
vpn75,1,red,dot,1,3,no,rshift,806,0
vpn75,1,red,dot,1,9,no,rshift,681,0
vpn75,1,blue,dot,1,8,no,lshift,959,0
vpn75,1,blue,dot,1,7,no,lshift,536,0
vpn75,1,red,dot,1,1,no,rshift,530,0
vpn75,1,red,dot,1,7,no,rshift,681,0
vpn75,1,blue,dot,1,3,no,lshift,788,0
vpn75,1,blue,dot,1,1,no,lshift,962,0
vpn75,1,blue,dot,1,4,no,lshift,920,0
vpn75,1,red,dot,1,6,no,rshift,699,0
vpn75,1,blue,dot,1,9,no,lshift,1013,0
vpn75,1,blue,dot,1,6,no,lshift,519,0
vpn75,1,red,dot,1,9,no,rshift,425,0
vpn75,1,red,dot,1,9,no,rshift,522,0
vpn75,1,red,dot,1,7,no,rshift,376,0
vpn75,1,blue,dot,1,9,no,lshift,446,0
vpn75,1,blue,dot,1,3,no,lshift,633,0
vpn75,1,red,dot,1,9,no,rshift,514,0
vpn75,1,red,dot,1,8,no,rshift,537,0
vpn75,1,red,dot,1,2,no,rshift,497,0
vpn75,1,red,dot,1,6,no,rshift,439,0
vpn75,1,blue,dot,1,8,no,lshift,610,0
vpn75,1,blue,dot,1,4,no,lshift,564,0
vpn75,1,blue,dot,1,8,no,lshift,822,0
vpn75,1,blue,dot,1,3,no,lshift,433,0
vpn75,1,blue,dot,1,3,no,lshift,437,0
vpn75,1,red,dot,1,3,no,rshift,518,0
vpn75,1,blue,dot,1,7,no,lshift,494,0
vpn75,1,blue,dot,1,8,no,lshift,573,0
vpn75,1,blue,dot,1,8,no,lshift,523,0
vpn75,1,red,dot,1,4,no,rshift,433,0
vpn75,1,red,dot,1,1,no,rshift,627,0
vpn75,1,blue,dot,1,2,no,lshift,712,0
vpn75,1,blue,dot,1,7,no,lshift,1014,0
vpn75,1,red,dot,1,7,no,rshift,762,0
vpn75,1,red,dot,1,7,no,rshift,567,0
vpn75,1,blue,dot,1,1,no,lshift,430,0
vpn75,1,red,dot,1,8,no,rshift,501,0
vpn75,1,blue,dot,1,1,no,lshift,498,0
vpn75,2,red,dot,1,4,no,rshift,813,0
vpn75,2,blue,dot,1,9,no,lshift,569,0
vpn75,2,blue,dot,1,6,no,lshift,513,0
vpn75,2,red,dot,1,7,no,rshift,362,0
vpn75,2,red,dot,1,4,no,rshift,413,0
vpn75,2,red,dot,1,7,no,rshift,544,0
vpn75,2,blue,dot,1,7,no,lshift,1110,0
vpn75,2,blue,dot,1,3,no,lshift,562,0
vpn75,2,blue,dot,1,3,no,lshift,519,0
vpn75,2,blue,dot,1,1,no,lshift,503,0
vpn75,2,red,dot,1,7,no,rshift,415,0
vpn75,2,red,dot,1,7,no,rshift,1057,0
vpn75,2,blue,dot,1,4,no,lshift,859,0
vpn75,2,blue,dot,1,1,no,lshift,816,0
vpn75,2,red,dot,1,2,no,rshift,512,0
vpn75,2,blue,dot,1,8,no,lshift,478,0
vpn75,2,red,dot,1,6,no,rshift,469,0
vpn75,2,blue,dot,1,9,no,lshift,811,0
vpn75,2,red,dot,1,6,no,rshift,368,0
vpn75,2,blue,dot,1,1,no,lshift,448,0
vpn75,2,red,dot,1,3,no,rshift,497,0
vpn75,2,blue,dot,1,1,no,lshift,490,0
vpn75,2,blue,dot,1,3,no,lshift,806,0
vpn75,2,blue,dot,1,4,no,lshift,463,0
vpn75,2,red,dot,1,1,no,rshift,555,0
vpn75,2,red,dot,1,4,no,rshift,402,0
vpn75,2,blue,dot,1,1,no,lshift,436,0
vpn75,2,blue,dot,1,8,no,lshift,985,0
vpn75,2,red,dot,1,2,no,rshift,556,0
vpn75,2,blue,dot,1,1,no,lshift,783,0
vpn75,2,blue,dot,1,3,no,lshift,749,0
vpn75,2,red,dot,1,2,no,rshift,682,0
vpn75,2,red,dot,1,8,no,rshift,431,0
vpn75,2,red,dot,1,4,no,rshift,560,0
vpn75,2,blue,dot,1,4,no,lshift,452,0
vpn75,2,red,dot,1,7,no,rshift,772,0
vpn75,2,red,dot,1,9,no,rshift,458,0
vpn75,2,blue,dot,1,9,no,lshift,528,0
vpn75,2,red,dot,1,9,no,rshift,423,0
vpn75,2,blue,dot,1,2,no,lshift,429,0
vpn75,2,red,dot,1,3,no,rshift,606,0
vpn75,2,blue,dot,1,3,no,lshift,605,0
vpn75,2,red,dot,1,6,no,rshift,474,0
vpn75,2,blue,dot,1,9,no,lshift,529,0
vpn75,2,blue,dot,1,4,no,lshift,449,0
vpn75,2,blue,dot,1,6,no,lshift,993,0
vpn75,2,red,dot,1,7,no,rshift,690,0
vpn75,2,blue,dot,1,8,no,lshift,964,0
vpn75,2,red,dot,1,2,no,rshift,456,0
vpn75,2,red,dot,1,7,no,rshift,563,0
vpn75,2,red,dot,1,8,no,rshift,413,0
vpn75,2,red,dot,1,8,no,rshift,366,0
vpn75,2,red,dot,1,7,no,rshift,503,0
vpn75,2,blue,dot,1,3,no,lshift,457,0
vpn75,2,blue,dot,1,7,no,lshift,774,0
vpn75,2,red,dot,1,2,no,rshift,455,0
vpn75,2,blue,dot,1,2,no,lshift,1043,0
vpn75,2,blue,dot,1,4,no,lshift,476,0
vpn75,2,red,dot,1,4,no,rshift,451,0
vpn75,2,blue,dot,1,6,no,lshift,1284,0
vpn75,2,red,dot,1,1,no,rshift,511,0
vpn75,2,red,dot,1,1,no,rshift,485,0
vpn75,2,blue,dot,1,2,no,lshift,994,0
vpn75,2,blue,dot,1,4,no,lshift,501,0
vpn75,2,blue,dot,1,4,no,lshift,585,0
vpn75,2,blue,dot,1,8,no,lshift,450,0
vpn75,2,blue,dot,1,8,no,lshift,952,0
vpn75,2,blue,dot,1,6,no,lshift,593,0
vpn75,2,red,dot,1,3,no,rshift,578,0
vpn75,2,red,dot,1,1,no,rshift,396,0
vpn75,2,red,dot,1,3,no,rshift,394,0
vpn75,2,blue,dot,1,1,no,lshift,436,0
vpn75,2,red,dot,1,6,no,rshift,434,0
vpn75,2,red,dot,1,6,no,rshift,626,0
vpn75,2,blue,dot,1,2,no,lshift,822,0
vpn75,2,red,dot,1,2,no,rshift,501,0
vpn75,2,blue,dot,1,9,no,lshift,744,0
vpn75,2,red,dot,1,6,no,rshift,518,0
vpn75,2,blue,dot,0,7,no,rshift,565,0
vpn75,2,red,dot,1,7,no,rshift,981,0
vpn75,2,blue,dot,1,1,no,lshift,532,0
vpn75,2,red,dot,1,7,no,rshift,976,0
vpn75,2,red,dot,1,9,no,rshift,494,0
vpn75,2,red,dot,1,3,no,rshift,550,0
vpn75,2,blue,dot,1,8,no,lshift,450,0
vpn75,2,red,dot,1,8,no,rshift,502,0
vpn75,2,blue,dot,1,2,no,lshift,529,0
vpn75,2,blue,dot,1,8,no,lshift,735,0
vpn75,2,blue,dot,1,8,no,lshift,530,0
vpn75,2,red,dot,1,9,no,rshift,452,0
vpn75,2,red,dot,1,4,no,rshift,849,0
vpn75,2,red,dot,1,4,no,rshift,439,0
vpn75,2,blue,dot,1,7,no,lshift,554,0
vpn75,2,blue,dot,1,2,no,lshift,605,0
vpn75,2,red,dot,1,1,no,rshift,579,0
vpn75,2,blue,dot,1,7,no,lshift,477,0
vpn75,2,red,dot,1,9,no,rshift,410,0
vpn75,2,blue,dot,1,9,no,lshift,496,0
vpn75,2,red,dot,1,6,no,rshift,408,0
vpn75,2,blue,dot,1,4,no,lshift,945,0
vpn75,2,blue,dot,1,7,no,lshift,477,0
vpn75,2,blue,dot,1,6,no,lshift,503,0
vpn75,2,blue,dot,1,1,no,lshift,453,0
vpn75,2,red,dot,1,6,no,rshift,464,0
vpn75,2,blue,dot,1,3,no,lshift,673,0
vpn75,2,red,dot,1,2,no,rshift,431,0
vpn75,2,red,dot,1,9,no,rshift,529,0
vpn75,2,blue,dot,1,2,no,lshift,495,0
vpn75,2,red,dot,1,8,no,rshift,533,0
vpn75,2,red,dot,1,3,no,rshift,1130,0
vpn75,2,red,dot,1,4,no,rshift,618,0
vpn75,2,red,dot,1,1,no,rshift,524,0
vpn75,2,red,dot,1,6,no,rshift,452,0
vpn75,2,blue,dot,1,2,no,lshift,478,0
vpn75,2,red,dot,1,9,no,rshift,733,0
vpn75,2,red,dot,1,8,no,rshift,483,0
vpn75,2,blue,dot,1,3,no,lshift,507,0
vpn75,2,blue,dot,1,9,no,lshift,628,0
vpn75,2,red,dot,1,8,no,rshift,582,0
vpn75,2,red,dot,1,3,no,rshift,459,0
vpn75,2,blue,dot,1,7,no,lshift,546,0
vpn75,2,blue,dot,1,2,no,lshift,752,0
vpn75,2,blue,dot,1,6,no,lshift,615,0
vpn75,2,red,dot,1,1,no,rshift,502,0
vpn75,2,blue,dot,1,9,no,lshift,550,0
vpn75,2,blue,dot,1,2,no,lshift,479,0
vpn75,2,red,dot,1,3,no,rshift,493,0
vpn75,2,red,dot,1,8,no,rshift,604,0
vpn75,2,red,dot,1,2,no,rshift,616,0
vpn75,2,red,dot,1,8,no,rshift,493,0
vpn75,2,blue,dot,1,8,no,lshift,617,0
vpn75,2,blue,dot,1,8,no,lshift,707,0
vpn75,2,blue,dot,1,9,no,lshift,541,0
vpn75,2,blue,dot,1,4,no,lshift,520,0
vpn75,2,blue,dot,1,3,no,lshift,466,0
vpn75,2,red,dot,1,3,no,rshift,546,0
vpn75,2,blue,dot,1,7,no,lshift,833,0
vpn75,2,blue,dot,1,4,no,lshift,997,0
vpn75,2,blue,dot,1,6,no,lshift,498,0
vpn75,2,blue,dot,1,1,no,lshift,573,0
vpn75,2,blue,dot,1,7,no,lshift,448,0
vpn75,2,red,dot,1,9,no,rshift,581,0
vpn75,2,red,dot,1,8,no,rshift,451,0
vpn75,2,blue,dot,1,3,no,lshift,450,0
vpn75,2,red,dot,1,2,no,rshift,474,0
vpn75,2,red,dot,1,3,no,rshift,526,0
vpn75,2,red,dot,1,1,no,rshift,540,0
vpn75,2,red,dot,1,1,no,rshift,495,0
vpn75,2,blue,dot,1,9,no,lshift,654,0
vpn75,2,red,dot,1,4,no,rshift,1236,0
vpn75,2,blue,dot,1,6,no,lshift,499,0
vpn75,2,red,dot,1,4,no,rshift,624,0
vpn75,2,blue,dot,1,6,no,lshift,489,0
vpn75,2,red,dot,1,6,no,rshift,514,0
vpn75,2,red,dot,1,2,no,rshift,423,0
vpn75,2,blue,dot,1,6,no,lshift,485,0
vpn75,2,red,dot,1,9,no,rshift,480,0
vpn75,2,red,dot,1,9,no,rshift,550,0
vpn75,2,blue,dot,1,7,no,lshift,593,0
vpn75,2,red,dot,1,1,no,rshift,565,0
vpn75,3,blue,dot,1,9,no,lshift,1130,0
vpn75,3,red,dot,1,1,no,rshift,1120,0
vpn75,3,red,dot,1,1,no,rshift,1905,0
vpn75,3,red,dot,1,6,no,rshift,401,0
vpn75,3,blue,dot,1,6,no,lshift,419,0
vpn75,3,blue,dot,1,2,no,lshift,736,0
vpn75,3,blue,dot,1,2,no,lshift,1175,0
vpn75,3,red,dot,1,6,no,rshift,1448,0
vpn75,3,red,dot,1,6,no,rshift,512,0
vpn75,3,blue,dot,1,7,no,lshift,526,0
vpn75,3,red,dot,1,8,no,rshift,480,0
vpn75,3,red,dot,1,2,no,rshift,452,0
vpn75,3,red,dot,1,9,no,rshift,457,0
vpn75,3,blue,dot,1,1,no,lshift,488,0
vpn75,3,red,dot,1,1,no,rshift,671,0
vpn75,3,red,dot,1,8,no,rshift,418,0
vpn75,3,red,dot,1,1,no,rshift,456,0
vpn75,3,red,dot,1,4,no,rshift,486,0
vpn75,3,blue,dot,1,3,no,lshift,561,0
vpn75,3,red,dot,1,6,no,rshift,379,0
vpn75,3,blue,dot,1,1,no,lshift,1057,0
vpn75,3,blue,dot,1,4,no,lshift,495,0
vpn75,3,red,dot,1,4,no,rshift,472,0
vpn75,3,blue,dot,1,9,no,lshift,560,0
vpn75,3,blue,dot,1,9,no,lshift,429,0
vpn75,3,red,dot,1,3,no,rshift,453,0
vpn75,3,red,dot,1,2,no,rshift,482,0
vpn75,3,red,dot,1,4,no,rshift,407,0
vpn75,3,blue,dot,1,8,no,lshift,531,0
vpn75,3,red,dot,1,2,no,rshift,517,0
vpn75,3,red,dot,1,6,no,rshift,430,0
vpn75,3,blue,dot,1,9,no,lshift,474,0
vpn75,3,blue,dot,1,2,no,lshift,861,0
vpn75,3,red,dot,1,4,no,rshift,482,0
vpn75,3,blue,dot,1,3,no,lshift,1034,0
vpn75,3,blue,dot,1,9,no,lshift,513,0
vpn75,3,red,dot,1,9,no,rshift,455,0
vpn75,3,blue,dot,1,1,no,lshift,950,0
vpn75,3,red,dot,1,2,no,rshift,710,0
vpn75,3,blue,dot,1,8,no,lshift,689,0
vpn75,3,blue,dot,1,7,no,lshift,851,0
vpn75,3,red,dot,1,9,no,rshift,784,0
vpn75,3,blue,dot,1,1,no,lshift,558,0
vpn75,3,red,dot,1,1,no,rshift,550,0
vpn75,3,blue,dot,1,2,no,lshift,450,0
vpn75,3,blue,dot,1,6,no,lshift,476,0
vpn75,3,red,dot,1,4,no,rshift,484,0
vpn75,3,blue,dot,1,7,no,lshift,505,0
vpn75,3,red,dot,1,3,no,rshift,388,0
vpn75,3,red,dot,1,9,no,rshift,545,0
vpn75,3,red,dot,1,8,no,rshift,492,0
vpn75,3,blue,dot,1,1,no,lshift,520,0
vpn75,3,blue,dot,1,8,no,lshift,1249,0
vpn75,3,red,dot,1,8,no,rshift,588,0
vpn75,3,blue,dot,1,6,no,lshift,483,0
vpn75,3,blue,dot,1,2,no,lshift,999,0
vpn75,3,blue,dot,1,9,no,lshift,528,0
vpn75,3,red,dot,1,7,no,rshift,481,0
vpn75,3,red,dot,1,9,no,rshift,1034,0
vpn75,3,blue,dot,1,4,no,lshift,521,0
vpn75,3,blue,dot,1,3,no,lshift,415,0
vpn75,3,red,dot,1,2,no,rshift,460,0
vpn75,3,blue,dot,1,4,no,lshift,723,0
vpn75,3,blue,dot,1,6,no,lshift,460,0
vpn75,3,red,dot,1,9,no,rshift,443,0
vpn75,3,blue,dot,1,2,no,lshift,428,0
vpn75,3,blue,dot,1,7,no,lshift,781,0
vpn75,3,red,dot,1,3,no,rshift,428,0
vpn75,3,red,dot,1,2,no,rshift,436,0
vpn75,3,blue,dot,1,8,no,lshift,762,0
vpn75,3,red,dot,1,4,no,rshift,451,0
vpn75,3,blue,dot,1,9,no,lshift,516,0
vpn75,3,blue,dot,1,4,no,lshift,738,0
vpn75,3,blue,dot,1,6,no,lshift,991,0
vpn75,3,red,dot,1,8,no,rshift,528,0
vpn75,3,red,dot,1,1,no,rshift,526,0
vpn75,3,blue,dot,1,4,no,lshift,535,0
vpn75,3,red,dot,1,4,no,rshift,552,0
vpn75,3,red,dot,1,6,no,rshift,714,0
vpn75,3,blue,dot,1,7,no,lshift,573,0
vpn75,3,red,dot,1,7,no,rshift,501,0
vpn75,3,red,dot,1,3,no,rshift,653,0
vpn75,3,blue,dot,1,3,no,lshift,1201,0
