ID_name,block,color,condition,correct_keyboard_response,number,practice,response_keyboard_response,response_time_keyboard_response,subject_nr
Musemori,0,blue,dot,1,8,yes,lshift,560,0
Musemori,0,blue,dot,1,2,yes,lshift,626,0
Musemori,0,blue,dot,1,7,yes,lshift,395,0
Musemori,0,red,dot,1,3,yes,rshift,556,0
Musemori,0,red,dot,1,7,yes,rshift,410,0
Musemori,0,red,dot,1,8,yes,rshift,374,0
Musemori,0,red,dot,1,4,yes,rshift,374,0
Musemori,0,blue,dot,1,1,yes,lshift,501,0
Musemori,0,blue,dot,1,3,yes,lshift,521,0
Musemori,0,red,dot,1,9,yes,rshift,473,0
Musemori,0,blue,dot,1,9,yes,lshift,682,0
Musemori,0,blue,dot,1,6,yes,lshift,745,0
Musemori,0,red,dot,1,1,yes,rshift,505,0
Musemori,0,blue,dot,1,4,yes,lshift,658,0
Musemori,0,red,dot,1,2,yes,rshift,497,0
Musemori,0,red,dot,1,6,yes,rshift,503,0
Musemori,1,red,dot,1,9,no,rshift,2569,0
Musemori,1,red,dot,1,8,no,rshift,407,0
Musemori,1,red,dot,1,2,no,rshift,427,0
Musemori,1,red,dot,1,4,no,rshift,467,0
Musemori,1,red,dot,1,9,no,rshift,417,0
Musemori,1,blue,dot,1,6,no,lshift,16302,0
Musemori,1,red,dot,1,2,no,rshift,536,0
Musemori,1,blue,dot,1,4,no,lshift,461,0
Musemori,1,blue,dot,1,4,no,lshift,700,0
Musemori,1,blue,dot,1,1,no,lshift,621,0
Musemori,1,blue,dot,1,1,no,lshift,517,0
Musemori,1,red,dot,1,6,no,rshift,491,0
Musemori,1,blue,dot,1,2,no,lshift,700,0
Musemori,1,red,dot,1,6,no,rshift,500,0
Musemori,1,blue,dot,1,2,no,lshift,440,0
Musemori,1,blue,dot,1,9,no,lshift,517,0
Musemori,1,red,dot,1,4,no,rshift,432,0
Musemori,1,blue,dot,1,1,no,lshift,602,0
Musemori,1,blue,dot,1,7,no,lshift,442,0
Musemori,1,red,dot,1,8,no,rshift,586,0
Musemori,1,red,dot,1,1,no,rshift,563,0
Musemori,1,blue,dot,1,9,no,lshift,567,0
Musemori,1,red,dot,1,9,no,rshift,755,0
Musemori,1,red,dot,1,2,no,rshift,621,0
Musemori,1,red,dot,1,9,no,rshift,506,0
Musemori,1,blue,dot,1,1,no,lshift,595,0
Musemori,1,red,dot,1,4,no,rshift,1139,0
Musemori,1,red,dot,1,9,no,rshift,456,0
Musemori,1,red,dot,1,4,no,rshift,453,0
Musemori,1,blue,dot,1,7,no,lshift,507,0
Musemori,1,blue,dot,1,1,no,lshift,419,0
Musemori,1,blue,dot,1,8,no,lshift,494,0
Musemori,1,blue,dot,1,4,no,lshift,448,0
Musemori,1,blue,dot,1,9,no,lshift,448,0
Musemori,1,blue,dot,1,6,no,lshift,2809,0
Musemori,1,blue,dot,1,3,no,lshift,571,0
Musemori,1,blue,dot,1,4,no,lshift,525,0
Musemori,1,red,dot,1,9,no,rshift,428,0
Musemori,1,blue,dot,1,4,no,lshift,633,0
Musemori,1,blue,dot,1,1,no,lshift,1582,0
Musemori,1,blue,dot,1,2,no,lshift,520,0
Musemori,1,red,dot,1,7,no,rshift,431,0
Musemori,1,red,dot,1,8,no,rshift,581,0
Musemori,1,red,dot,1,3,no,rshift,427,0
Musemori,1,red,dot,1,6,no,rshift,430,0
Musemori,1,blue,dot,1,9,no,lshift,485,0
Musemori,1,red,dot,1,6,no,rshift,635,0
Musemori,1,blue,dot,1,8,no,lshift,473,0
Musemori,1,blue,dot,1,3,no,lshift,1039,0
Musemori,1,red,dot,1,6,no,rshift,866,0
Musemori,1,blue,dot,1,8,no,lshift,514,0
Musemori,1,blue,dot,1,3,no,lshift,646,0
Musemori,1,blue,dot,1,1,no,lshift,482,0
Musemori,1,blue,dot,1,8,no,lshift,600,0
Musemori,1,red,dot,1,8,no,rshift,851,0
Musemori,1,red,dot,1,8,no,rshift,538,0
Musemori,1,red,dot,1,3,no,rshift,427,0
Musemori,1,red,dot,1,7,no,rshift,482,0
Musemori,1,red,dot,1,9,no,rshift,495,0
Musemori,1,red,dot,1,1,no,rshift,1252,0
Musemori,1,red,dot,1,8,no,rshift,3733,0
Musemori,1,red,dot,1,1,no,rshift,3725,0
Musemori,1,red,dot,1,4,no,rshift,456,0
Musemori,1,blue,dot,1,9,no,lshift,735,0
Musemori,1,blue,dot,1,7,no,lshift,563,0
Musemori,1,blue,dot,1,9,no,lshift,487,0
Musemori,1,red,dot,1,3,no,rshift,613,0
Musemori,1,red,dot,1,6,no,rshift,546,0
Musemori,1,blue,dot,1,8,no,lshift,701,0
Musemori,1,blue,dot,1,4,no,lshift,527,0
Musemori,1,red,dot,1,3,no,rshift,605,0
Musemori,1,blue,dot,1,3,no,lshift,754,0
Musemori,1,red,dot,1,7,no,rshift,411,0
Musemori,1,blue,dot,1,7,no,lshift,596,0
Musemori,1,red,dot,1,4,no,rshift,361,0
Musemori,1,red,dot,1,8,no,rshift,401,0
Musemori,1,blue,dot,1,7,no,lshift,624,0
Musemori,1,red,dot,1,2,no,rshift,476,0
Musemori,1,red,dot,1,8,no,rshift,403,0
Musemori,1,red,dot,1,2,no,rshift,433,0
Musemori,1,blue,dot,1,1,no,lshift,495,0
Musemori,1,red,dot,1,7,no,rshift,524,0
Musemori,1,red,dot,1,7,no,rshift,376,0
Musemori,1,red,dot,1,2,no,rshift,408,0
Musemori,1,red,dot,1,4,no,rshift,443,0
Musemori,1,red,dot,1,3,no,rshift,477,0
Musemori,1,blue,dot,1,2,no,lshift,1552,0
Musemori,1,blue,dot,1,1,no,lshift,5638,0
Musemori,1,red,dot,1,3,no,rshift,10934,0
Musemori,1,blue,dot,1,8,no,lshift,1526,0
Musemori,1,blue,dot,1,4,no,lshift,570,0
Musemori,1,blue,dot,1,6,no,lshift,528,0
Musemori,1,red,dot,1,7,no,rshift,560,0
Musemori,1,blue,dot,1,6,no,lshift,596,0
Musemori,1,blue,dot,1,6,no,lshift,601,0
Musemori,1,red,dot,1,1,no,rshift,499,0
Musemori,1,red,dot,1,1,no,rshift,447,0
Musemori,1,blue,dot,1,1,no,lshift,538,0
Musemori,1,red,dot,1,7,no,rshift,572,0
Musemori,1,red,dot,1,1,no,rshift,480,0
Musemori,1,blue,dot,1,9,no,lshift,611,0
Musemori,1,blue,dot,1,3,no,lshift,471,0
Musemori,1,red,dot,1,2,no,rshift,526,0
Musemori,1,blue,dot,1,4,no,lshift,535,0
Musemori,1,blue,dot,1,9,no,lshift,862,0
Musemori,1,red,dot,1,3,no,rshift,434,0
Musemori,1,red,dot,1,2,no,rshift,979,0
Musemori,1,blue,dot,1,7,no,lshift,637,0
Musemori,1,red,dot,1,9,no,rshift,514,0
Musemori,1,red,dot,1,7,no,rshift,488,0
Musemori,1,blue,dot,1,4,no,lshift,624,0
Musemori,1,red,dot,1,7,no,rshift,390,0
Musemori,1,blue,dot,1,3,no,lshift,787,0
Musemori,1,red,dot,1,7,no,rshift,705,0
Musemori,1,red,dot,1,1,no,rshift,876,0
Musemori,1,red,dot,1,1,no,rshift,524,0
Musemori,1,blue,dot,1,6,no,lshift,595,0
Musemori,1,blue,dot,1,7,no,lshift,894,0
Musemori,1,red,dot,1,3,no,rshift,636,0
Musemori,1,red,dot,1,2,no,rshift,489,0
Musemori,1,red,dot,1,4,no,rshift,417,0
Musemori,1,blue,dot,1,7,no,lshift,626,0
Musemori,1,red,dot,1,6,no,rshift,526,0
Musemori,1,red,dot,1,3,no,rshift,471,0
Musemori,1,blue,dot,1,6,no,lshift,703,0
Musemori,1,red,dot,1,9,no,rshift,374,0
Musemori,1,blue,dot,1,3,no,lshift,504,0
Musemori,1,blue,dot,1,7,no,lshift,429,0
Musemori,1,red,dot,1,4,no,rshift,407,0
Musemori,1,red,dot,1,6,no,rshift,505,0
Musemori,1,red,dot,1,8,no,rshift,431,0
Musemori,1,blue,dot,1,6,no,lshift,564,0
Musemori,1,blue,dot,1,8,no,lshift,452,0
Musemori,1,red,dot,1,4,no,rshift,564,0
Musemori,1,red,dot,1,8,no,rshift,1085,0
Musemori,1,blue,dot,1,8,no,lshift,484,0
Musemori,1,red,dot,1,6,no,rshift,526,0
Musemori,1,blue,dot,1,2,no,lshift,496,0
Musemori,1,red,dot,1,9,no,rshift,791,0
Musemori,1,blue,dot,1,3,no,lshift,623,0
Musemori,1,blue,dot,1,2,no,lshift,750,0
